id ; iName ; eng ; jpn ; tchi ; schi ; kor ; fre ; ger ; spa ; ita ; dut ; rus ; color ; size ; 
004F ; FtrBabybed ; baby bed ; ベビーベッド ; 嬰兒床 ; 婴儿床 ; 아기 침대 ; lit bébé ; Babybett ; cuna ; lettino ; babybed ; кроватка ; Beige ; 1_0x1_0
1C49 ; RoomTexWallDiner00 ; blue diner wall ; あおいダイナーのかべ ; 藍色餐館牆 ; 蓝色餐馆墙 ; 파란 다이너 벽 ; mur années 50 bleu ; Blau-Dinerwand ; pared café años 50 azul ; muro bar anni '50 azzurro ; blauwe restaurantwand ; голубая стена кафе ; Blue ; 1_0x1_0
1C4A ; RoomTexWallDiner01 ; pink diner wall ; ももいろダイナーのかべ ; 桃紅色餐館牆 ; 桃红色餐馆墙 ; 분홍 다이너 벽 ; mur années 50 pêche ; Rosa-Dinerwand ; pared café años 50 rosa ; muro bar anni '50 rosa ; roze restaurantwand ; розовая стена кафе ; Pink ; 1_0x1_0
1C4B ; RoomTexWallDiner02 ; gray diner wall ; しろいダイナーのかべ ; 白色餐館牆 ; 白色餐馆墙 ; 하얀 다이너 벽 ; mur années 50 gris ; Grau-Dinerwand ; pared café años 50 gris ; muro bar anni '50 grigio ; grijze restaurantwand ; серая стена кафе ; White ; 1_0x1_0
1C4C ; RoomTexWallDiner03 ; brown diner wall ; ちゃいろいダイナーのかべ ; 茶色餐館牆 ; 茶色餐馆墙 ; 갈색 다이너 벽 ; mur années 50 brun ; Braun-Dinerwand ; pared café años 50 marrón ; muro bar anni '50 cacao ; bruine restaurantwand ; коричневая стена кафе ; Brown ; 1_0x1_0
1C6A ; RoomTexWallDollhouse00 ; pink quilt wall ; ピンクキルトのかべ ; 粉紅色拼布牆 ; 粉红色拼布墙 ; 핑크 퀼트 벽 ; mur patchwork rose ; Rosa-Quiltwand ; pared patchwork rosa ; muro patchwork rosa ; roze quiltwand ; лоскутная розовая стена ; Pink ; 1_0x1_0
1C6B ; RoomTexWallDollhouse03 ; purple quilt wall ; パープルキルトのかべ ; 紫色拼布牆 ; 紫色拼布墙 ; 퍼플 퀼트 벽 ; mur patchwork mauve ; Lila-Quiltwand ; pared patchwork lila ; muro patchwork lilla ; paarse quiltwand ; лоскутная фиолет. стена ; Purple ; 1_0x1_0
1C6C ; RoomTexWallDollhouse02 ; yellow quilt wall ; イエローキルトのかべ ; 黃色拼布牆 ; 黄色拼布墙 ; 옐로 퀼트 벽 ; mur patchwork jaune ; Gelb-Quiltwand ; pared patchwork amarilla ; muro patchwork giallo ; gele quiltwand ; лоскутная желтая стена ; Yellow ; 1_0x1_0
1C6D ; RoomTexWallDollhouse01 ; blue quilt wall ; ブルーキルトのかべ ; 藍色拼布牆 ; 蓝色拼布墙 ; 블루 퀼트 벽 ; mur patchwork bleu ; Blau-Quiltwand ; pared patchwork azul ; muro patchwork azzurro ; blauwe quiltwand ; лоскутная голубая стена ; Blue ; 1_0x1_0
27BB ; RoomTexWallKitty00 ; Hello Kitty wall ; ハローキティなかべ ; Hello Kitty牆 ; Hello Kitty墙 ; 헬로키티 벽 ; mur Hello Kitty ; Hello-Kitty-Tapete ; pared Hello Kitty ; muro Hello Kitty ; Hello Kitty-wand ; стена Hello Kitty ; Red ; 1_0x1_0
27BC ; RoomTexWallCinnamon00 ; Cinnamoroll wall ; シナモロールなかべ ; Cinnamoroll牆 ; Cinnamoroll墙 ; 시나모롤 벽 ; mur Cinnamoroll ; Cinnamoroll-Tapete ; pared Cinnamoroll ; muro Cinnamoroll ; Cinnamoroll-wand ; стена Cinnamoroll ; White ; 1_0x1_0
27BD ; RoomTexWallMymelody00 ; My Melody wall ; マイメロディなかべ ; My Melody牆 ; My Melody墙 ; 마이멜로디 벽 ; mur My Melody ; My-Melody-Tapete ; pared My Melody ; muro My Melody ; My Melody-wand ; стена My Melody ; Pink ; 1_0x1_0
27BE ; RoomTexWallPurin00 ; Pompompurin wall ; ポムポムプリンなかべ ; Pompompurin牆 ; Pompompurin墙 ; 폼폼푸린 벽 ; mur Pompompurin ; Pompompurin-Tapete ; pared Pompompurin ; muro Pompompurin ; Pompompurin-wand ; стена Pompompurin ; Yellow ; 1_0x1_0
27BF ; RoomTexWallKeroppi00 ; Kerokerokeroppi wall ; けろけろけろっぴなかべ ; Kerokerokeroppi牆 ; Kerokerokeroppi墙 ; 케로케로케로피 벽 ; mur Kerokerokeroppi ; Kerokerokeroppi-Wand ; pared Kerokerokeroppi ; muro Kerokerokeroppi ; Kerokerokeroppi-wand ; стена Kerokerokeroppi ; Green ; 1_0x1_0
27C0 ; RoomTexWallKikilala00 ; Kiki & Lala wall ; キキ&ララなかべ ; Kiki & Lala牆 ; Kiki & Lala墙 ; 리틀트윈스타 벽 ; mur Kiki & Lala ; Kiki-&-Lala-Tapete ; pared Kiki & Lala ; muro Kiki & Lala ; Kiki-&-Lala-wand ; стена Kiki & Lala ; Pink ; 1_0x1_0
2BA8 ; RoomTexWallMud03 ; chic tearoom wall ; シックなちゃしつのかべ ; 典雅茶室牆 ; 典雅茶室墙 ; 시크한 다도실 벽 ; mur salon de thé chic ; Schick-Teezimmerwand ; pared sala de té chic ; muro sala da tè chic ; chique theehuiswand ; модная стена чайной ; Black ; 1_0x1_0
2BA9 ; RoomTexWallMud01 ; soothing tearoom wall ; おちついたちゃしつのかべ ; 穩重茶室牆 ; 稳重茶室墙 ; 차분한 다도실 벽 ; mur salon de thé apaisant ; Relax-Teezimmerwand ; pared sala de té relajante ; muro sala da tè rilassante ; rustgevende theehuiswand ; светлая стена чайной ; White ; 1_0x1_0
2BAA ; RoomTexWallMud02 ; modern tearoom wall ; モダンなちゃしつのかべ ; 摩登茶室牆 ; 摩登茶室墙 ; 모던 다도실 벽 ; mur salon de thé moderne ; Modern-Teezimmerwand ; pared sala de té moderna ; muro sala da tè moderno ; moderne theehuiswand ; стена современной чайной ; Brown ; 1_0x1_0
2BAC ; RoomTexWallOriental00 ; harmonious wall ; オリエンタルなかべ ; 東方風牆壁 ; 东方风墙 ; 오리엔탈 벽 ; mur impérial ; Asienwand ; pared ventanas orientales ; muro sala da tè orientale ; harmonieuze wand ; стена «Гармония» ; Brown ; 1_0x1_0
2E8B ; RoomSpWallRain00 ; misty-garden wall ; こさめのふるかべ ; 毛毛細雨牆 ; 毛毛细雨墙 ; 가랑비가 내리는 벽 ; mur de pluie douce ; Nieselregen-Tapete ; pared bosque lluvioso ; muro bosco piovoso ; regenachtige wand ; стена «Дождик» ; Gray ; 1_0x1_0
30AD ; RoomTexWallJuneBride00 ; wedding-party wall ; ウェディングパーティーのかべ ; 婚禮派對牆 ; 婚礼派对墙 ; 웨딩 파티 벽 ; mur cérémonie de mariage ; Hochzeitsfeiertapete ; pared banquete de boda ; muro festa nuziale ; trouwfeestwand ; стена на свадьбу ; White ; 1_0x1_0
30B2 ; RoomSpWallChurch00 ; white wedding wall ; ウェディングなかべ・ホワイト ; 白色婚禮牆 ; 白色婚礼墙 ; 하얀 웨딩 벽 ; mur mariage blanc ; Weiß-Hochzeitstapete ; pared de boda blanca ; muro nuziale bianco ; witte trouwwand ; белая свадебная стена ; White ; 1_0x1_0
30B4 ; RoomSpWallChurch01 ; brown wedding wall ; ウェディングなかべ・ブラウン ; 棕色婚禮牆 ; 茶色婚礼墙 ; 갈색 웨딩 벽 ; mur mariage brun ; Braun-Hochzeitstapete ; pared de boda marrón ; muro nuziale marrone ; bruine trouwwand ; коричн. свадебная стена ; Beige ; 1_0x1_0
30B5 ; RoomSpWallChurch02 ; green wedding wall ; ウェディングなかべ・グリーン ; 綠色婚禮牆 ; 绿色婚礼墙 ; 초록 웨딩 벽 ; mur mariage vert ; Grün-Hochzeitstapete ; pared de boda verde ; muro nuziale verde ; groene trouwwand ; зеленая свадебная стена ; Green ; 1_0x1_0
3116 ; RoomSpWallMermaid00 ; mermaid wall ; マーメイドなかべがみ ; 人魚壁紙 ; 人鱼壁纸 ; 머메이드 벽지 ; mur sirène ; Nixentapete ; pared sirena ; muro sirena ; meerminnenwand ; стена русалки ; Pink ; 1_0x1_0
3117 ; RoomSpWallPirates00 ; pirate wall ; かいぞくのかべがみ ; 海盜壁紙 ; 海盗壁纸 ; 해적 벽지 ; mur pirate ; Piratentapete ; pared pirata ; muro pirata ; piratenwand ; пиратская стена ; Blue ; 1_0x1_0
31B1 ; RoomSpWallSummer00 ; circus wall ; サーカスのかべ ; 馬戲團牆 ; 马戏团墙 ; 서커스 벽 ; mur cirque ; Zirkustapete ; pared circo ; muro circo ; circuswand ; цирковая стена ; Colorful ; 1_0x1_0
31B4 ; RoomTexWallMedicineRoom00 ; pharmacy-shelving wall ; やくひんだなのかべ ; 藥品架牆 ; 药品陈列柜墙 ; 약품 선반 벽 ; mur rayons de pharmacie ; Apothekenschrank-Tapete ; pared armario medicinas ; muro farmacia ; apotheekwand ; аптечная стена ; White ; 1_0x1_0
3230 ; RoomTexWallBoard00 ; hallway wall ; ろうかのかべ ; 走廊牆 ; 走廊墙 ; 복도 벽 ; mur couloir ; Korridortapete ; pared vestíbulo ; muro da corridoio ; halwand ; коридорная стена ; LightBlue ; 1_0x1_0
3231 ; RoomTexWallLocker00 ; red locker-room wall ; あかいロッカールームのかべ ; 紅色置物櫃房間牆 ; 红色置物柜房间墙 ; 빨간색 로커 룸 벽 ; mur vestiaire rouge ; Rotspind-Tapete ; pared taquillas rojas ; muro armadietti rossi ; rodekluisjeswand ; стена с крас. шкафчиками ; Red ; 1_0x1_0
3233 ; RoomTexWallOperatingRoom00 ; operating-room wall ; しゅじゅつしつのかべ ; 手術室牆 ; 手术室墙 ; 수술실 벽 ; mur bloc opératoire ; OP-Saal-Tapete ; pared quirófano ; muro sala operatoria ; operatiezaalwand ; стена операционной ; Gray ; 1_0x1_0
3237 ; RoomSpWallSchoolyard00 ; brick garden wall ; レンガのにわかべ ; 磚塊庭園牆 ; 砖块庭院墙 ; 벽돌 정원 벽 ; mur jardin en briques ; Gartenmauer-Tapete ; pared tapia ladrillo elegante ; muro mattoni da parco ; bakstenen parkmuur ; кирпичная стена в саду ; Brown ; 1_0x1_0
326A ; RoomSpWallFrench00 ; white European-style wall ; ヨーロピアンスタイルのしろかべ ; 歐式白牆 ; 欧式白墙 ; 유러피언 스타일 하얀색 벽 ; mur à l'européenne blanc ; Weiß-Europatapete ; pared opulenta blanca ; muro stile europeo bianco ; witte Europese wand ; белая европейская стена ; White ; 1_0x1_0
326B ; RoomTexWallRestaurant00 ; retro restaurant wall ; レトロなレストランのかべ ; 復古餐廳牆 ; 复古餐厅墙 ; 복고풍 레스토랑 벽 ; mur restaurant rétro ; Retro-Restauranttapete ; pared restaurante añejo ; muro ristorante rétro ; retrorestaurantwand ; стена ретро-ресторана ; Brown ; 1_0x1_0
326C ; RoomTexWallCoffee00 ; coffee-shop wall ; コーヒーショップのかべ ; 咖啡廳牆 ; 咖啡厅墙 ; 커피숍 벽 ; mur magasin de café ; Kaffeehaus-Tapete ; pared dispensadores café ; muro torrefazione ; koffiehuiswand ; стена магазина кофе ; Black ; 1_0x1_0
326D ; RoomTexWallIcecream00 ; ice-cream-shoppe wall ; アイスクリームショップのかべ ; 冰淇淋店牆 ; 冰淇淋店墙 ; 아이스크림 가게 벽 ; mur glacier ; Eisladen-Tapete ; pared surtido de helados ; muro gelateria ; ijszaakwand ; стена кафе-мороженого ; Colorful ; 1_0x1_0
326E ; RoomTexWallTeahouse00 ; outdoor-window wall ; まどつきのそとかべ ; 附窗戶的外牆 ; 附窗户的外墙 ; 창문이 있는 외벽 ; mur extérieur fenêtre ; Fensteraußentapete ; pared ventana exterior ; muro finestre vista giardino ; buitenraamwand ; наружная стена с окном ; Beige ; 1_0x1_0
326F ; RoomTexWallDisplay00 ; apparel-shop wall ; アパレルショップのかべ ; 服裝店牆 ; 服装店墙 ; 어패럴 숍 벽 ; mur magasin de vêtements ; Boutique-Tapete ; pared boutique ; muro boutique ; kledingwinkelwand ; стена магазина одежды ; Colorful ; 1_0x1_0
3270 ; RoomTexWallShelf00 ; white-shelving wall ; しろいシェルフのかべ ; 白色架子牆 ; 白色架子墙 ; 하얀색 쉘프 벽 ; mur rayons blancs ; Weißregal-Tapete ; pared estantes blanca ; muro bianco con mensole ; wittestellagewand ; стена с белыми полками ; White ; 1_0x1_0
3271 ; RoomSpWallStand00 ; concession-stand wall ; ばいてんのかべ ; 店鋪牆 ; 店铺墙 ; 매점 벽 ; mur stand de cinéma ; Kiosktapete ; pared ambigú cine ; muro chiosco ; snackkioskwand ; стена буфета ; Colorful ; 1_0x1_0
32DB ; RoomSpWallGlowMoss00 ; glowing-moss forest wall ; ヒカリゴケのもりのかべ ; 光蘚森林牆 ; 光藓森林墙 ; 빛이끼 숲 벽 ; mur forêt schistostega ; Leuchtmooswald-Tapete ; pared musgo lumin. bosque ; muro bosco muschio lumin. ; lichtmosboswand ; лесн. стена со свет. мхом ; Green ; 1_0x1_0
32DC ; RoomTexWallGoldRich00 ; Paradise Planning wall ; タクミライフのかべがみ ; 巧美生活壁紙 ; 巧美生活壁纸 ; 파라다이스 플래닝 벽지 ; mur Les Villas de Lou ; FHA-Tapete ; pared Archipiélago ; muro Casimira vacanze ; resortplanbureauwand ; стена курортного бюро ; Yellow ; 1_0x1_0
334A ; RoomSpWallClub00 ; club wall ; クラブのかべ ; 俱樂部牆 ; 俱乐部墙 ; 클럽 벽 ; mur discothèque ; Discotapete ; pared discoteca ; muro discoteca ; discowand ; стена клуба ; Black ; 1_0x1_0
33A8 ; RoomTexWallHalloween00 ; spooky wall ; ハロウィンなかべ ; 萬聖節牆 ; 万圣节墙 ; 할로윈 벽 ; mur Halloween ; Kürbistapete ; pared calabaza ; muro brividi ; pompoenwand ; жуткая стена ; Orange ; 1_0x1_0
33AE ; RoomSpWallFireworks00 ; fireworks-show wall ; はなびたいかいのかべ ; 煙火大會牆 ; 烟花大会墙 ; 불꽃축제 벽 ; mur feux d'artifice ; Feuerwerk-Tapete ; pared fuegos artificiales ; muro fuochi d'artificio ; vuurwerkwand ; стена с фейерверком ; Black ; 1_0x1_0
3406 ; RoomTexWallHarvest00 ; Turkey Day wall ; サンクスギビングなかべ ; 感恩節牆 ; 感恩节墙 ; 하베스트 벽 ; mur fête du partage ; Schlemmfest-Tapete ; pared Día del Pavo ; muro primizie ; smakenfestijnwand ; стена «День изобилия» ; Beige ; 1_0x1_0
3413 ; RoomTexWallAntique00 ; antique brick wall ; アンティークレンガのかべ ; 古董磚塊牆 ; 古董砖块墙 ; 앤티크 벽돌 벽 ; mur de briques ancien ; Antik-Ziegeltapete ; pared ladrillo antiguo ; muro mattoni antico ; antieke bakstenen muur ; старинная кирпичн. стена ; Brown ; 1_0x1_0
3414 ; RoomSpWallWindow00 ; white window-panel wall ; しろいまどべのかべ ; 白色窗台牆 ; 白色窗台墙 ; 하얀색 창가 벽 ; mur blanc carreaux ; Weiß-Fenstertapete ; pared con ventanal blanca ; muro con finestra bianco ; witte wand met venster ; белая стена с окнами ; White ; 1_0x1_0
3415 ; RoomTexWallTwotone00 ; zen architecture wall ; わふうけんちくのかべ ; 和風建築牆 ; 和风建筑墙 ; 동양풍 건축물 벽 ; mur architectural zen ; Zen-Architektur-Tapete ; pared inspiración zen ; muro stile giapponese ; zenbamboewand ; дзен-стена ; Beige ; 1_0x1_0
342E ; RoomSpWallFrozenFood00 ; frozen-foods freezer wall ; れいとうショーケースのかべ ; 冷凍展示櫃牆 ; 冷冻展示柜墙 ; 냉동 진열대 벽 ; mur rayon surgelés ; Tiefkühlregal-Tapete ; pared alimentos congelados ; muro congelatore ; vriezerwand ; стена морозильн. витрины ; Colorful ; 1_0x1_0
347A ; RoomSpWallGreenHouse00 ; greenhouse wall ; おんしつのかべ ; 溫室牆 ; 温室墙 ; 온실 벽 ; mur serre ; Gewächshaus-Tapete ; pared invernadero ; muro serra ; broeikaswand ; стена теплицы ; LightBlue ; 1_0x1_0
347B ; RoomTexWallGlamping00 ; tent wall ; テントのかべ ; 帳篷牆 ; 帐篷墙 ; 텐트 벽 ; mur tente ; Zeltwand-Tapete ; pared tienda de campaña ; muro tenda ; tentwand ; стена палатки ; Beige ; 1_0x1_0
347E ; RoomSpWallWindow01 ; black window-panel wall ; くろいまどべのかべ ; 黑色窗台牆 ; 黑色窗台墙 ; 검은색 창가 벽 ; mur noir carreaux ; Schwarz-Fenstertapete ; pared con ventanal negra ; muro con finestra nero ; zwarte wand met venster ; черная стена с окнами ; Black ; 1_0x1_0
3481 ; RoomTexWallLocker01 ; gray locker-room wall ; グレーのロッカールームのかべ ; 灰色置物櫃房間牆 ; 灰色置物柜房间墙 ; 회색 로커 룸 벽 ; mur vestiaire acier ; Schwarzspind-Tapete ; pared taquillas grises ; muro armadietti grigi ; zwartekluisjeswand ; стена с сер. шкафчиками ; Gray ; 1_0x1_0
3482 ; RoomTexWallShelf01 ; gray-shelving wall ; グレーのシェルフのかべ ; 灰色架子牆 ; 灰色架子墙 ; 회색 쉘프 벽 ; mur rayons acier ; Grauregal-Tapete ; pared estantes gris ; muro rivestito con mensole ; grijzestellagewand ; стена с серыми полками ; Brown ; 1_0x1_0
34AA ; RoomTexWallFootmark00 ; paw-print wall ; にくきゅうなかべがみ ; 肉球壁紙 ; 肉球壁纸 ; 발자국 벽지 ; mur pattes ; Pfötchentapete ; pared huella animal ; muro impronte ; pootafdrukkenwand ; стена с отпечатками лап ; Yellow ; 1_0x1_0
34AF ; RoomTexWallTadelakt00 ; blue Moroccan-style wall ; ブルーのモロッカンなぬりかべ ; 藍色摩洛哥塗牆 ; 蓝色摩洛哥涂墙 ; 블루 모로칸 페인트 벽 ; mur marocain bleu ; Nachtblau-Marokko-Wand ; pared marroquí azul ; muro marocchino blu ; blauwe Marokkaanse wand ; син. марокканская стена ; Blue ; 1_0x1_0
34B9 ; RoomTexWallTadelakt01 ; orange Moroccan-style wall ; オレンジのモロッカンなぬりかべ ; 橘色摩洛哥塗牆 ; 橘色摩洛哥涂墙 ; 오렌지 모로칸 페인트 벽 ; mur marocain orange ; Ocker-Marokko-Wand ; pared marroquí naranja ; muro marocchino arancione ; oranje Marokkaanse wand ; оран. марокканская стена ; Orange ; 1_0x1_0
3523 ; RoomSpWallSnowy00 ; falling-snow wall ; ゆきのふるかべ ; 下雪牆 ; 下雪墙 ; 눈 내리는 벽 ; mur chute de neige ; Schneefall-Tapete ; pared noche nevada ; muro nevicata ; sneeuwvalwand ; стена со снегопадом ; Brown ; 1_0x1_0
3529 ; RoomSpWallAurora00 ; aurora wall ; オーロラのかべ ; 極光牆 ; 极光墙 ; 오로라 벽 ; mur aurore polaire ; Aurora-Tapete ; pared aurora ; muro aurora boreale ; poollichtwand ; стена с полярным сиянием ; Blue ; 1_0x1_0
35ED ; RoomSpWallMario00 ; mushroom mural ; スーパーマリオのかべ ; 超級瑪利歐牆 ; 超级马力欧墙 ; 슈퍼 마리오 벽 ; mur Mario ; Pilztapete ; pared champiñón ; muro dei funghi ; Mario-wand ; грибная стена ; LightBlue ; 1_0x1_0
362A ; RoomSpWallFrench01 ; black European-style wall ; ヨーロピアンスタイルのくろかべ ; 歐式黑牆 ; 欧式黑墙 ; 유러피언 스타일 검은색 벽 ; mur à l'européenne noir ; Schwarz-Europatapete ; pared opulenta negra ; muro stile europeo nero ; zwarte Europese wand ; черная европейск. стена ; Black ; 1_0x1_0
3632 ; RoomSpWallGlowRemains00 ; glowing-moss ruins wall ; ヒカリゴケのいせきのかべ ; 光蘚遺跡牆 ; 光藓遗迹墙 ; 빛이끼 유적 벽 ; mur ruines schistostega ; Leuchtmoosruinen-Tapete ; pared musgo lumin. ruinas ; muro rovine muschio lumin. ; lichtmosruïnewand ; стена-руина со свет. мхом ; Gray ; 1_0x1_0
3633 ; RoomSpWallRopenet00 ; rope-net wall ; ロープネットのかべ ; 繩網牆 ; 绳网墙 ; 로프네트 벽 ; mur filet de corde ; Seilnetz-Tapete ; pared malla ; muro rete ; touwnetwand ; стена-сетка ; Brown ; 1_0x1_0
3639 ; RoomSpWallGlowCave00 ; glowing-moss cave wall ; ヒカリゴケのどうくつのかべ ; 光蘚洞穴牆 ; 光藓洞穴墙 ; 빛이끼 동굴 벽 ; mur caverne schistostega ; Leuchtmooshöhlen-Tapete ; pared musgo lumin. cueva ; muro grotta muschio lumin. ; lichtmosgrotwand ; пещер. стена со свет. мхом ; Green ; 1_0x1_0
37AC ; RoomSpWallBallroom00 ; prom wall ; プロムのかべ ; 畢業舞會牆 ; 毕业舞会墙 ; 프롬 벽 ; mur bal de promo ; Abschlussball-Tapete ; pared baile de fin de curso ; muro ballo scolastico ; galawand ; стена «Выпускной вечер» ; Purple ; 1_0x1_0
3A30 ; RoomSpWallSketch00 ; Room Sketch wall ; ルームスケッチのかべがみ ; 房間草圖壁紙 ; 房间草图壁纸 ; 룸 스케치 벽지 ; mur Joyeux décorateur ; Raumentwürfe-Tapete ; pared Anteproyectos ; muro A tutto design ; interieurontwerpwand ; стена «Эскиз помещения» ; White ; 1_0x1_0
042B ; RoomSpFloorZeldaForest00 ; Korok Forest flooring ; コログのもりのゆか ; 克洛格森林地板 ; 克洛格森林地板 ; 코로그의 숲 바닥 ; sol forêt Korogu ; Wald-der-Krogs-Boden ; suelo Bosque Kolog ; pavimento Korogu ; Korok-woud-vloer ; пол из леса Короков ; Green ; 1_0x1_0
047C ; RoomSpFloorSplatoon00 ; Tricolor Turf War flooring ; トリカラバトルのゆか ; 三色奪寶對戰地板 ; 三色夺宝对战地板 ; 트리컬러 배틀 바닥 ; sol guerre tricolore ; Dreifarb-Kampf-Boden ; suelo combate tricolor ; pavimento partita tricolore ; Driekleurenoorlog-vloer ; пол из трехцветного боя ; Colorful ; 1_0x1_0
0501 ; RoomTexFloorLego00 ; colorful LEGO® flooring ; LEGO®のゆか・カラフル ; LEGO®地板・彩色 ; LEGO®地板·彩色 ; 컬러풀 LEGO® 바닥 ; sol coloré LEGO® ; Bunt-LEGO®-Boden ; suelo LEGO® multicolor ; pavimento LEGO® variopinto ; kleurrijke LEGO®-vloer ; красочный пол LEGO® ; Green ; 1_0x1_0
050E ; RoomTexFloorLego01 ; modern LEGO® flooring ; LEGO®のゆか・モダン ; LEGO®地板・摩登 ; LEGO®地板·摩登 ; 모던 LEGO® 바닥 ; sol moderne LEGO® ; Modern-LEGO®-Boden ; suelo LEGO® moderno ; pavimento LEGO® moderno ; moderne LEGO®-vloer ; современный пол LEGO® ; Blue ; 1_0x1_0
050F ; RoomTexFloorLego02 ; cute LEGO® flooring ; LEGO®のゆか・キュート ; LEGO®地板・可愛 ; LEGO®地板·可爱 ; 큐트 LEGO® 바닥 ; sol mimi LEGO® ; Niedlich-LEGO®-Boden ; suelo LEGO® adorable ; pavimento LEGO® grazioso ; schattige LEGO®-vloer ; милый пол LEGO® ; LightBlue ; 1_0x1_0
0510 ; RoomTexFloorLego03 ; chic LEGO® flooring ; LEGO®のゆか・シック ; LEGO®地板・典雅 ; LEGO®地板·典雅 ; 시크 LEGO® 바닥 ; sol chic LEGO® ; Schick-LEGO®-Boden ; suelo LEGO® chic ; pavimento LEGO® chic ; chique LEGO®-vloer ; шикарный пол LEGO® ; Black ; 1_0x1_0
12BD ; RoomTexFloorBasement00 ; basement flooring ; ちかしつのゆか ; 地下室地板 ; 地下室地板 ; 지하실 바닥 ; sol de cave ; Kellerboden ; suelo sótano ; pavimento cantina ; keldervloer ; пол из булыжников ; Gray ; 1_0x1_0
1356 ; RoomTexFloorSeaView00 ; ship deck ; かんぱんのゆか ; 甲板地板 ; 甲板地板 ; 갑판 바닥 ; sol pont de navire ; Schiffsdeck ; suelo cubierta ; pavimento ponte di nave ; scheepsdekvloer ; корабельный пол ; Beige ; 1_0x1_0
1357 ; RoomTexFloorConcrete00 ; concrete flooring ; コンクリートのゆか ; 混凝土地板 ; 混凝土地板 ; 콘크리트 바닥 ; sol en béton ; Zementboden ; suelo hormigón ; pavimento grezzo ; betonvloer ; бетонный пол ; Gray ; 1_0x1_0
1358 ; RoomTexFloorRubber00 ; green rubber flooring ; グリーンラバーのゆか ; 綠色塑膠地板 ; 绿色胶地板 ; 그린 고무 바닥 ; sol en caoutchouc vert ; Grüngummiboden ; suelo de caucho verde ; pavimento in gomma verde ; groene rubbervloer ; зеленый резиновый пол ; Green ; 1_0x1_0
1359 ; RoomTexFloorArabesque00 ; arabesque flooring ; アラベスクなゆか ; 阿拉伯式地板 ; 阿拉伯式地板 ; 아라베스크 바닥 ; sol arabesques ; Arabeskenboden ; suelo arabesco ; pavimento arabescato ; arabeske vloer ; пол с арабесками ; Black ; 1_0x1_0
135A ; RoomTexFloorRubber01 ; blue rubber flooring ; ブルーラバーのゆか ; 藍色塑膠地板 ; 蓝色胶地板 ; 블루 고무 바닥 ; sol en caoutchouc bleu ; Blaugummiboden ; suelo de caucho azul ; pavimento in gomma blu ; blauwe rubbervloer ; синий резиновый пол ; Blue ; 1_0x1_0
135B ; RoomTexFloorJointMat00 ; jointed-mat flooring ; ジョイントマットのゆか ; 巧拼地墊地板 ; 拼接地垫地板 ; 체크 매트 바닥 ; sol dalles imbriquées ; Puzzlemattenboden ; suelo esterilla combinada ; pavimento a tappetini uniti ; gecombineerde matten ; пол-пазл из циновок ; Beige ; 1_0x1_0
135C ; RoomTexFloorPuzzleMat00 ; pastel puzzle flooring ; パステルパズルのゆか ; 粉嫩巧拼地板 ; 粉嫩巧拼地板 ; 파스텔 퍼즐 바닥 ; sol puzzle pastel ; Pastell-Puzzleboden ; suelo rompecabezas pastel ; pavimento puzzle pastello ; pastelkleurige puzzelvloer ; пастельный пол-пазл ; White ; 1_0x1_0
135D ; RoomTexFloorPuzzleMat01 ; colorful puzzle flooring ; カラフルパズルのゆか ; 彩色巧拼地板 ; 彩色巧拼地板 ; 컬러풀 퍼즐 바닥 ; sol puzzle multicolore ; Bunt-Puzzleboden ; suelo rompecabezas alegre ; pavimento puzzle variopinto ; kleurrijke puzzelvloer ; цветной пол-пазл ; Colorful ; 1_0x1_0
135E ; RoomTexFloorRoseCarpet00 ; rose flooring ; バラのじゅうたん ; 玫瑰地板 ; 玫瑰地毯 ; 장미 카펫 바닥 ; sol roses ; Rosenblütenboden ; suelo rosas ; pavimento con rose ; rozenvloer ; пол с розами ; Red ; 1_0x1_0
135F ; RoomTexFloorAnimal00 ; leopard-print flooring ; レオパードなゆか ; 豹紋地板 ; 豹纹地板 ; 표범 무늬 바닥 ; sol léopard ; Leopardenmusterboden ; suelo leopardo ; pavimento maculato ; luipaardvloer ; леопардовый пол ; Orange ; 1_0x1_0
1360 ; RoomTexFloorSteel00 ; steel flooring ; てっぱんのゆか ; 鐵板地板 ; 铁板地板 ; 철판 바닥 ; sol en acier ; Eisenbelag ; suelo acero ; pavimento acciaio ; stalen vloer ; стальной пол ; Gray ; 1_0x1_0
1361 ; RoomTexFloorAnimal01 ; giraffe-print flooring ; ジラフなゆか ; 長頸鹿紋地板 ; 长颈鹿纹地板 ; 기린 무늬 바닥 ; sol girafe ; Giraffenmusterboden ; suelo jirafa ; pavimento giraffa ; giraffevloer ; пол с пятнами жирафа ; Beige ; 1_0x1_0
1362 ; RoomTexFloorAnimal02 ; zebra-print flooring ; ゼブラなゆか ; 斑馬紋地板 ; 斑马纹地板 ; 얼룩말 무늬 바닥 ; sol zèbre ; Zebramusterboden ; suelo cebra ; pavimento zebrato ; zebravloer ; пол с полосками зебры ; Black ; 1_0x1_0
1363 ; RoomTexFloorStripe00 ; stripe flooring ; ストライプなゆか ; 條紋地板 ; 条纹地板 ; 스트라이프 바닥 ; sol rayures ; Streifenboden ; suelo rayas ; pavimento strisce ; gestreepte vloer ; полосатый пол ; Colorful ; 1_0x1_0
